date,NIFTY NEXT 50
2018-04-17,40455.73
2018-04-18,40420.66
2018-04-19,40714.81
2018-04-20,40544.07
2018-04-23,40758.61
2018-04-24,40830.20
2018-04-25,40760.81
2018-04-26,40671.96
2018-04-27,40923.57
2018-04-30,41150.55
2018-05-02,40621.16
2018-05-03,40099.45
2018-05-04,39837.95
2018-05-07,40153.17
2018-05-08,40023.78
2018-05-09,39791.05
2018-05-10,39275.78
2018-05-11,39281.00
2018-05-14,39092.95
2018-05-15,38974.43
2018-05-16,38933.49
2018-05-17,38934.19
2018-05-18,38375.32
2018-05-21,37810.11
2018-05-22,38324.04
2018-05-23,38121.20
2018-05-24,38214.95
2018-05-25,38861.96
2018-05-28,39510.96
2018-05-29,39494.69
2018-05-30,39380.09
2018-05-31,39243.31
2018-06-01,38849.55
2018-06-04,38502.24
2018-06-05,38101.59
2018-06-06,38683.33
2018-06-07,39199.15
2018-06-08,39354.79
2018-06-11,39379.72
2018-06-12,39661.02
2018-06-13,39584.08
2018-06-14,39515.99
2018-06-15,39213.94
2018-06-18,39016.51
2018-06-19,38725.40
2018-06-20,38712.85
2018-06-21,38496.92
2018-06-22,38703.09
2018-06-25,38190.64
2018-06-26,38268.70
2018-06-27,37749.32
2018-06-28,37282.66
2018-06-29,37981.22
2018-07-02,37646.58
2018-07-03,37818.49
2018-07-04,37767.29
2018-07-05,37613.77
2018-07-06,37832.75
2018-07-09,38139.33
2018-07-10,38534.89
2018-07-11,38223.45
2018-07-12,38156.40
2018-07-13,37978.41
2018-07-16,37114.33
2018-07-17,37533.86
2018-07-18,37117.55
2018-07-19,36924.99
2018-07-20,37135.28
2018-07-23,37770.76
2018-07-24,38740.25
2018-07-25,38702.64
2018-07-26,39063.23
2018-07-27,39384.07
2018-07-30,39794.73
2018-07-31,39970.74
2018-08-01,40096.15
2018-08-02,39997.85
2018-08-03,40269.70
2018-08-06,40349.06
2018-08-07,40329.83
2018-08-08,40403.65
2018-08-09,40566.34
2018-08-10,40261.93
2018-08-13,39829.69
2018-08-14,40049.96
2018-08-16,39763.51
2018-08-17,40360.31
2018-08-20,40834.40
2018-08-21,41016.24
2018-08-23,41251.60
2018-08-24,41191.20
2018-08-27,41541.82
2018-08-28,41489.09
2018-08-29,41777.45
2018-08-30,41933.10
2018-08-31,42141.21
2018-09-03,41831.79
2018-09-04,40554.32
2018-09-05,40311.95
2018-09-06,40615.10
2018-09-07,41069.70
2018-09-10,40350.93
2018-09-11,39622.53
2018-09-12,39814.10
2018-09-14,40522.54
2018-09-17,40190.14
2018-09-18,39615.40
2018-09-19,39444.62
2018-09-21,38653.99
2018-09-24,37481.79
2018-09-25,37829.17
2018-09-26,37941.96
2018-09-27,37309.93
2018-09-28,36837.51
2018-10-01,36866.42
2018-10-03,36395.88
2018-10-04,35828.58
2018-10-05,34970.10
2018-10-08,34606.94
2018-10-09,34425.59
2018-10-10,35538.60
2018-10-11,34872.87
2018-10-12,35611.54
2018-10-15,35760.92
2018-10-16,36263.97
2018-10-17,35474.85
2018-10-19,35173.46
2018-10-22,35013.59
2018-10-23,34567.46
2018-10-24,34693.94
2018-10-25,34203.99
2018-10-26,34249.15
2018-10-29,35057.43
2018-10-30,35243.30
2018-10-31,35866.61
2018-11-01,36088.70
2018-11-02,36637.03
2018-11-05,36761.80
2018-11-06,36551.98
2018-11-07,36800.36
2018-11-09,36965.50
2018-11-12,36544.72
2018-11-13,36648.36
2018-11-14,36686.94
2018-11-15,36853.06
2018-11-16,36994.63
2018-11-19,37196.10
2018-11-20,36733.58
2018-11-21,37020.25
2018-11-22,36766.46
2018-11-26,36901.43
2018-11-27,36864.47
2018-11-28,36768.51
2018-11-29,37041.10
